mal_id,title,title_english,type,source,episodes,status,duration,rating,score,scored_by,rank,popularity,members,favorites,season,year,studios,genres,themes,demographics,engagement_score,score_tier,popularity_momentum,score_z,retention_proxy,airing_era
59649,Nanashi Kaidan 3rd Season,Nanashi Kaidan 3rd Season,TV,Original,5,Finished Airing,6 min per ep,G - All Ages,0.0,0,20954,14138,1129,0,summer,2024,Unknown,"Horror, Supernatural",None,Unknown,7.029087564149662,Unscored,0.0,null,0.0,Modern Renaissance
31098,Ushio to Tora (TV) 2nd Season,Ushio & Tora (2016),TV,Manga,13,Finished Airing,24 min per ep,PG-13 - Teens 13 or older,7.88,68720,898,1790,138423,323,spring,2016,"MAPPA, Studio VOLN","Action, Adventure, Supernatural",Mythology,Shounen,17.618813009121943,Good,2.0142751124110534,1.153511576255062,0.002333410391261631,Streaming Revolution
31109,Hatsukoi Monster,First Love Monster,TV,Manga,12,Finished Airing,24 min per ep,PG-13 - Teens 13 or older,5.43,43257,12613,2053,117195,150,summer,2016,Studio Deen,"Comedy, Romance",School,Shoujo,16.68887432991388,Below Average,2.709209857136252,-1.6366482343119622,0.001279907164067033,Streaming Revolution
41946,Shuumatsu no Harem,World's End Harem,TV,Manga,11,Finished Airing,24 min per ep,R+ - Mild Nudity,5.9,106017,0,972,273442,2056,winter,2022,"Studio Gokumi, AXsiZ","Sci-Fi, Erotica",Harem,Shounen,20.14784870219447,Below Average,2.579203531475787,-1.1013930869786956,0.007518934476289391,Modern Renaissance
50099,Shin Tennis no Oujisama: U-17 World Cup,The Prince of Tennis II: U-17 World Cup,TV,Manga,13,Finished Airing,23 min per ep,PG-13 - Teens 13 or older,6.78,5639,5561,5550,17439,129,summer,2022,"M.S.C, Studio Kai",Sports,School,Shounen,14.633998806825044,Average,3.092021276595745,-0.09921323665258103,0.0073967889908256885,Modern Renaissance
21273,Gochuumon wa Usagi desu ka?,Is the Order a Rabbit?,TV,4-koma manga,12,Finished Airing,23 min per ep,PG-13 - Teens 13 or older,7.49,95028,2060,1092,243600,2238,spring,2014,White Fox,Slice of Life,"CGDCT, Iyashikei, Workplace",Unknown,20.117067431416636,Good,2.5634280061875847,0.7093636880423524,0.009187154404128062,Streaming Revolution
31163,Dimension W,Dimension W,TV,Manga,12,Finished Airing,24 min per ep,R - 17+ (violence & profanity),7.17,142963,3588,871,308217,840,winter,2016,"Orange, Studio 3Hz","Action, Sci-Fi",None,Seinen,19.37315101930757,Good,2.1559063820262443,0.34493465156012854,0.0027253437502027787,Streaming Revolution
35789,Yowamushi Pedal: Glory Line,Yowamushi Pedal: Glory Line,TV,Manga,25,Finished Airing,23 min per ep,PG-13 - Teens 13 or older,7.58,30009,1711,2996,63587,100,winter,2018,TMS Entertainment,Sports,Racing,Shounen,15.675284842760707,Good,2.1188603798733756,0.8118593545529776,0.001572623765490344,Global Expansion Era
35799,Miniforce,Miniforce,TV,Original,26,Finished Airing,13 min per ep,PG - Children,0.0,0,20671,19586,342,1,fall,2014,SAMG Entertainment,Action,"Anthropomorphic, Mecha",Kids,6.52795791762255,Unscored,0.0,null,0.0029154518950437317,Streaming Revolution
35834,Angolmois: Genkou Kassenki,Angolmois: Record of Mongol Invasion,TV,Web manga,12,Finished Airing,23 min per ep,R - 17+ (violence & profanity),7.12,27410,3908,2997,63511,133,summer,2018,NAZ,"Action, Drama","Historical, Military, Samurai",Unknown,15.956808198175853,Good,2.31698952975083,0.2879926146097813,0.0020940924549691397,Global Expansion Era
37786,Yagate Kimi ni Naru,Bloom Into You,TV,Manga,13,Finished Airing,24 min per ep,PG-13 - Teens 13 or older,7.88,154481,899,702,368555,6805,fall,2018,TROYCA,"Drama, Girls Love",School,Unknown,21.64290508826649,Good,2.3857472067943193,1.153511576255062,0.018463951204158932,Global Expansion Era
50142,Konu to Tanoshii Otomodachi,Konu to Tanoshii Otomodachi,TV,Original,12,Finished Airing,Unknown,PG - Children,0.0,0,19948,21932,211,0,fall,2021,Unknown,Slice of Life,None,Kids,5.351858133476067,Unscored,0.0,null,0.0,Modern Renaissance
61363,YouTuNya 3rd Season,YouTuNya 3rd Season,TV,Original,10,Finished Airing,1 min per ep,G - All Ages,0.0,0,16539,20155,308,0,spring,2025,Lesprit,Comedy,None,Unknown,5.730099782973574,Unscored,0.0,null,0.0,Modern Renaissance
10030,Bakuman. 2nd Season,Bakuman. Season 2,TV,Manga,25,Finished Airing,24 min per ep,PG-13 - Teens 13 or older,8.33,218770,265,710,366128,1381,fall,2011,J.C.Staff,"Comedy, Drama, Romance",Otaku Culture,Shounen,20.04202528234692,Excellent,1.6735673375355966,1.665989908808189,0.003771894605453269,Digital Boom Era
21435,Yama no Susume Second Season,Encouragement of Climb Season 2,TV,Manga,24,Finished Airing,13 min per ep,PG-13 - Teens 13 or older,7.56,16492,1774,3950,38328,161,summer,2014,8bit,"Adventure, Slice of Life","CGDCT, Iyashikei",Unknown,15.641532313795341,Good,2.3238949857515308,0.7890825397728382,0.004200474836285841,Streaming Revolution
31196,Cardfight!! Vanguard G: GIRS Crisis-hen,Cardfight!! Vanguard G GIRS Crisis,TV,Card game,26,Finished Airing,24 min per ep,PG-13 - Teens 13 or older,6.68,5921,6165,6351,12297,22,fall,2015,TMS Entertainment,Action,Strategy Game,Unknown,12.552604825101596,Average,2.0764944275582575,-0.2130973105532765,0.0017889087656529517,Streaming Revolution
35905,Ryuuou no Oshigoto!,The Ryuo's Work is Never Done!,TV,Light novel,12,Finished Airing,23 min per ep,PG-13 - Teens 13 or older,6.82,87633,5331,1292,204189,355,winter,2018,Project No.9,Comedy,Strategy Game,Unknown,18.101732045357636,Average,2.330020311751147,-0.05365960709230304,0.0017385768157108575,Global Expansion Era
37870,BanG Dream! 3rd Season,BanG Dream! 3rd Season,TV,Mixed media,13,Finished Airing,23 min per ep,PG-13 - Teens 13 or older,7.99,19259,699,3775,41968,585,winter,2020,SANZIGEN,Unknown,"CGDCT, Music, School",Unknown,17.017982491683668,Good,2.179023883696781,1.2787840575458267,0.013938859634492125,Global Expansion Era
10073,Seikon no Qwaser II,The Qwaser of Stigmata II,TV,Manga,12,Finished Airing,24 min per ep,R+ - Mild Nudity,6.28,64804,8554,1742,143221,136,spring,2011,Hoods Entertainment,"Action, Fantasy, Ecchi","Harem, School, Urban Fantasy",Seinen,16.792125096629725,Average,2.2100300902708123,-0.6686336061560553,9.495747859965647E-4,Digital Boom Era
21639,Yu☆Gi☆Oh! Arc-V,Yu-Gi-Oh! Arc-V,TV,Manga,148,Finished Airing,24 min per ep,PG-13 - Teens 13 or older,6.72,36197,5915,2860,69251,508,spring,2014,Gallop,"Action, Fantasy",Strategy Game,Shounen,17.37794088092906,Average,1.9131167467815902,-0.16754368099299852,0.007335528215791602,Streaming Revolution
37940,Yatogame-chan Kansatsu Nikki,Yatogame-chan Kansatsu Nikki,TV,4-koma manga,12,Finished Airing,3 min per ep,PG-13 - Teens 13 or older,6.26,14222,8725,4207,33769,13,spring,2019,Saetta,Comedy,School,Shounen,13.066355830474697,Average,2.3742529705406734,-0.6914104209361948,3.849570624814924E-4,Global Expansion Era
37943,Cocomong 2,Cocomong 2,TV,Original,26,Finished Airing,13 min per ep,G - All Ages,0.0,0,17810,20988,259,0,spring,2011,Olive Studio,Unknown,None,Kids,5.556828061699537,Unscored,0.0,null,0.0,Digital Boom Era
